Season,Team,Matches Won,Win Share %
2008,Rajasthan Royals,13,22.4
2008,Kings XI Punjab,10,17.2
2008,Chennai Super Kings,9,15.5
2008,Delhi Daredevils,7,12.1
2008,Mumbai Indians,7,12.1
2008,Kolkata Knight Riders,6,10.3
2008,Royal Challengers Bangalore,4,6.9
2008,Deccan Chargers,2,3.4
2009,Delhi Daredevils,10,17.9
2009,Deccan Chargers,9,16.1
2009,Royal Challengers Bangalore,9,16.1
2009,Chennai Super Kings,8,14.3
2009,Kings XI Punjab,7,12.5
2009,Mumbai Indians,5,8.9
2009,Rajasthan Royals,5,8.9
2009,Kolkata Knight Riders,3,5.4
2010,Mumbai Indians,11,18.6
2010,Chennai Super Kings,9,15.3
2010,Deccan Chargers,8,13.6
2010,Royal Challengers Bangalore,8,13.6
2010,Delhi Daredevils,7,11.9
2010,Kolkata Knight Riders,7,11.9
2010,Rajasthan Royals,6,10.2
2010,Kings XI Punjab,3,5.1
2011,Chennai Super Kings,11,15.3
2011,Mumbai Indians,10,13.9
2011,Royal Challengers Bangalore,10,13.9
2011,Kolkata Knight Riders,8,11.1
2011,Kings XI Punjab,7,9.7
2011,Deccan Chargers,6,8.3
2011,Kochi Tuskers Kerala,6,8.3
2011,Rajasthan Royals,6,8.3
2011,Delhi Daredevils,4,5.6
2011,Pune Warriors,4,5.6
2012,Kolkata Knight Riders,12,16.2
2012,Delhi Daredevils,11,14.9
2012,Chennai Super Kings,10,13.5
2012,Mumbai Indians,10,13.5
2012,Kings XI Punjab,8,10.8
2012,Royal Challengers Bangalore,8,10.8
2012,Rajasthan Royals,7,9.5
2012,Deccan Chargers,4,5.4
2012,Pune Warriors,4,5.4
2013,Mumbai Indians,13,17.6
2013,Chennai Super Kings,12,16.2
2013,Rajasthan Royals,11,14.9
2013,Sunrisers Hyderabad,9,12.2
2013,Kings XI Punjab,8,10.8
2013,Royal Challengers Bangalore,8,10.8
2013,Kolkata Knight Riders,6,8.1
2013,Pune Warriors,4,5.4
2013,Delhi Daredevils,3,4.1
2014,Kings XI Punjab,12,20.3
2014,Kolkata Knight Riders,11,18.6
2014,Chennai Super Kings,10,16.9
2014,Mumbai Indians,7,11.9
2014,Rajasthan Royals,6,10.2
2014,Sunrisers Hyderabad,6,10.2
2014,Royal Challengers Bangalore,5,8.5
2014,Delhi Daredevils,2,3.4
2015,Chennai Super Kings,10,17.9
2015,Mumbai Indians,10,17.9
2015,Royal Challengers Bangalore,8,14.3
2015,Kolkata Knight Riders,7,12.5
2015,Rajasthan Royals,7,12.5
2015,Sunrisers Hyderabad,7,12.5
2015,Delhi Daredevils,5,8.9
2015,Kings XI Punjab,2,3.6
2016,Sunrisers Hyderabad,11,18.3
2016,Gujarat Lions,9,15.0
2016,Royal Challengers Bangalore,9,15.0
2016,Kolkata Knight Riders,8,13.3
2016,Delhi Daredevils,7,11.7
2016,Mumbai Indians,7,11.7
2016,Rising Pune Supergiants,5,8.3
2016,Kings XI Punjab,4,6.7
2017,Mumbai Indians,11,19.0
2017,Rising Pune Supergiant,10,17.2
