Team,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Mumbai Indians,7,5,11,10,10,13,7,10,7,11,6,10,11,7,4,9,4,9
Chennai Super Kings,9,8,9,11,10,12,10,10,0,0,11,10,6,11,4,10,7,4
Kolkata Knight Riders,6,3,7,8,12,6,11,7,8,9,9,6,6,9,6,6,11,5
Royal Challengers Bangalore,4,9,8,10,8,8,5,8,9,3,6,5,6,9,9,7,0,0
Rajasthan Royals,13,5,6,6,7,11,6,7,0,0,7,5,6,5,10,7,9,4
Sunrisers Hyderabad,0,0,0,0,0,9,6,7,11,8,10,6,8,3,6,4,9,6
Kings XI Punjab,10,7,3,7,8,8,12,2,4,7,6,6,5,0,0,0,0,0
Delhi Daredevils,7,10,7,4,11,3,2,5,7,6,5,0,0,0,0,0,0,0
Delhi Capitals,0,0,0,0,0,0,0,0,0,0,0,9,8,9,7,5,7,6
Gujarat Titans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,5,9
Punjab Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,6,5,10
Lucknow Super Giants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,7,6
Deccan Chargers,2,9,8,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Royal Challengers Bengaluru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11
Gujarat Lions,0,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0
Pune Warriors,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0
Rising Pune Supergiant,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
Kochi Tuskers Kerala,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rising Pune Supergiants,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
